Zone_ID,left,top,right,bottom
1,121.551408,25.115518,121.566858,25.102831
2,121.551408,25.102831,121.566858,25.090144
3,121.551408,25.090144,121.566858,25.077457
4,121.551408,25.077457,121.566858,25.064770
5,121.551408,25.064770,121.566858,25.052083
6,121.566858,25.115518,121.582308,25.102831
7,121.566858,25.102831,121.582308,25.090144
8,121.566858,25.090144,121.582308,25.077457
9,121.566858,25.077457,121.582308,25.064770
10,121.566858,25.064770,121.582308,25.052083
11,121.582308,25.115518,121.597758,25.102831
12,121.582308,25.102831,121.597758,25.090144
13,121.582308,25.090144,121.597758,25.077457
14,121.582308,25.077457,121.597758,25.064770
15,121.582308,25.064770,121.597758,25.052083
16,121.597758,25.115518,121.613208,25.102831
17,121.597758,25.102831,121.613208,25.090144
18,121.597758,25.090144,121.613208,25.077457
19,121.597758,25.077457,121.613208,25.064770
20,121.597758,25.064770,121.613208,25.052083
21,121.613208,25.115518,121.628658,25.102831
22,121.613208,25.102831,121.628658,25.090144
23,121.613208,25.090144,121.628658,25.077457
24,121.613208,25.077457,121.628658,25.064770
25,121.613208,25.064770,121.628658,25.052083
